state,csv_district,geojson_district
Assam,Darrang,Darrang
Assam,Kamrup,Kamrup
Assam,Nagaon,Nagaon
Bihar,Gaya,Gaya
Bihar,Nalanda,Nalanda
Bihar,Araria,Araria
Chhattisgarh,Balod,Balod
Chhattisgarh,Dhamtari,Dhamtari
Chhattisgarh,Kanker,Kanker
Jharkhand,Bokaro,Bokaro
Jharkhand,Khunti,Khunti
Jharkhand,Ranchi,Ranchi
Madhya Pradesh,Agar,Agar Malwa
Madhya Pradesh,Dhar,Dhar
Madhya Pradesh,Sehore,Sehore
Odisha,Angul,Angul
Odisha,Koraput,Koraput
Odisha,Kalahandi,Kalahandi
Uttar Pradesh,Varanasi,Varanasi
Uttar Pradesh,Bahraich,Bahraich
Uttar Pradesh,Gorakhpur,Gorakhpur
